Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALB,Albania,ITU.DDD.23,Mobile broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,1.7,1.1,1.0,2.2,2.2,
ALB,Albania,ITU.DDD.24,Mobile cellular basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,1.8,1.8,1.7,1.3,1.1,
ALB,Albania,ITU.DDD.25,Mobile data and voice basket (high consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,2.7,2.7,2.5,3.5,1.5,
ALB,Albania,ITU.DDD.26,Mobile data and voice basket (low consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,2.7,2.1,2.5,1.7,1.4,
ALB,Albania,ITU.DDD.27,Mobile-cellular subscriptions per 100 inhabitants,Actual,-,-,-,92.4,106.9,121.0,127.7,116.5,118.0,117.0,125.9,94.4,91.5,91.4,92.3,97.9,
ALB,Albania,ITU.DDD.28,Monthly fixed broadband Internet traffic per fixed broadband subscription (MB),Actual,-,-,-,,,,,16648.8,22322.3,26731.8,37356.9,46824.2,86485.8,99778.2,141831.9,144569.5,
ALB,Albania,ITU.DDD.29,Monthly mobile broadband Internet traffic per mobile broadband subscription (MB),Actual,-,-,-,,,,,509.0,756.4,1322.1,1883.4,2764.8,3220.1,3708.9,6304.8,7183.2,
ALB,Albania,ITU.DDD.30,Population covered by a mobile-cellular network (%),Actual,-,-,-,98.2,99.0,99.0,100.0,99.8,100.0,99.8,99.9,99.9,99.9,99.9,99.9,100.0,
ALB,Albania,ITU.DDD.31,Population covered by at least a 3G mobile network (%),Actual,-,-,-,,85.6,99.0,99.0,99.0,99.0,99.0,99.2,99.2,99.2,99.2,99.2,99.0,
ALB,Albania,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Actual,-,-,-,,,,,,35.0,80.2,85.3,85.5,95.0,98.4,98.9,99.0,
ALB,Albania,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Estimate,-,-,-,,,,,0.0,,,,,,,,,
ALB,Albania,ITU.DDD.33,Total fixed broadband subscriptions,Actual,-,-,-,105539.0,128210.0,160088.0,182556.0,207964.0,242870.0,266379.0,303612.0,361947.0,436192.0,508937.0,559394.0,585285.0,
ALB,Albania,ITU.DDD.4,Fixed broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,1.6,1.6,1.4,1.5,1.3,
ALB,Albania,ITU.DDD.5,Fixed broadband subscriptions per 100 inhabitants,Actual,-,-,-,3.6,4.4,5.5,6.3,7.2,8.4,9.2,10.5,12.6,15.2,17.8,19.6,20.6,
ALB,Albania,ITU.DDD.6,Fixed broadband subscriptions: >10 Mbit/s,Actual,-,-,-,,,14908.0,16478.0,14075.0,14332.0,44539.0,61681.0,103867.0,178567.0,342856.0,461878.0,510246.0,
ALB,Albania,ITU.DDD.7,Fixed broadband subscriptions: 2 to 10 Mbit/s,Actual,-,-,-,,,110522.0,132052.0,175153.0,216274.0,203226.0,230178.0,253144.0,253369.0,164489.0,96332.0,74361.0,
ALB,Albania,ITU.DDD.8,Fixed broadband subscriptions: 256kbit/s - <2Mbit/s,Actual,-,-,-,,,34658.0,34026.0,18736.0,12264.0,18614.0,11753.0,4936.0,4256.0,1592.0,1184.0,678.0,
ALB,Albania,ITU.DDD.9,Fixed-telephone subscriptions per 100 inhabitants,Actual,-,-,-,11.4,11.7,10.8,9.7,8.2,7.9,8.6,8.6,8.6,8.5,7.8,6.9,6.2,
AND,Andorra,ITU.DDD.1,Active mobile-broadband subscriptions per 100 inhabitants,Actual,-,-,-,0.0,,,38.2,40.9,47.5,53.8,58.0,62.0,79.9,88.2,86.7,95.2,
AND,Andorra,ITU.DDD.10,Households with a computer at home (%),Actual,-,-,-,,,,,84.6,85.6,85.1,85.7,,,,,,
AND,Andorra,ITU.DDD.11,Households with Internet access at home (%),Actual,-,-,-,,,,,81.7,83.6,83.3,94.5,,,,,,
AND,Andorra,ITU.DDD.15,"Individuals using the Internet, total (%)",Actual,-,-,-,81.0,81.0,,,,,,91.6,,,,,,
AND,Andorra,ITU.DDD.15,"Individuals using the Internet, total (%)",Estimate,-,-,-,,,82.7,84.4,86.1,87.9,89.7,,,90.7,93.2,93.9,94.5,
AND,Andorra,ITU.DDD.16,International bandwidth per Internet user (kbit/s),Actual,-,-,-,39702.8,43736.8,42569.9,49806.7,72973.1,103068.7,130631.8,162698.4,,202144.6,,252698.5,290564.5,
AND,Andorra,ITU.DDD.2,Female Internet users as a % of total female population,Actual,-,-,-,,,,,,,,90.3,,,,,,
